"metric","observed","null_mean","null_sd","p_value","ci_2.5","ci_97.5"
"mean_lag_days",0.488948183285568,0.8250214,0.0237089741974953,0,0.443562854252138,0.537735568753742
"mean_deltaP_mm_day",0.977668583901403,0.00037626155119961,0.0371329462739331,0,0.877661869861619,1.07300100914579
